File,Type,Year
EIA923_Schedule_8_Annual_Environmental_Information_2015_Final_Revision.xlsx,OM,2015
EIA923_Schedules_6_7_NU_SourceNDisposition_2015_Final_Revision.xlsx,DIS,2015
EIA923_Schedules_6_7_NU_SourceNDisposition_2014_Final_Revision.xlsx,DIS,2014
EIA923_Schedules_6_7_NU_SourceNDisposition_2013_Final.xlsx,DIS,2013
EIA923_Schedules_6_7_NU_SourceNDisposition_2012_Final_Revision.xlsx,DIS,2012
EIA923_Schedules_6_7_NU_SourceNDisposition_2011_Final_Revision.xlsx,DIS,2011
EIA923_Schedules_2_3_4_5_M_12_2015_Final_Revision.xlsx,GFD,2015
EIA923_Schedules_2_3_4_5_M_12_2014_Final_Revision.xlsx,GFD,2014
EIA923_Schedules_2_3_4_5_M_12_2012_Final_Revision.xlsx,GFD,2012
EIA923_Schedules_2_3_4_5_2013_Final_Revision.xlsx,GFD,2013
EIA923_Schedules_2_3_4_5_2011_Final_Revision.xlsx,GFD,2011
2004 Nonutility Source and Disposition.xls,DIS,2004
2005 Nonutility Source and Disposition.xls,DIS,2005
2006 Nonutility Source and Disposition.xls,DIS,2006
2007 Nonutility Source and Disposition.xls,DIS,2007
2008 Nonutility Source and Disposition Final version.xlsm,DIS,2008
2009 Nonutility Source and Disposition.xls,DIS,2009
2010 Nonutility Source and Disposition.xls,DIS,2010
f906920_2004.xls,GFD,2004
f906920_2005.xls,GFD,2005
f906920_2006.xls,GFD,2006
f906920_2007.xls,GFD,2007
eia923December2008.xls,GFD,2008
EIA923 SCHEDULES 2_3_4_5 Final 2010.xls,GFD,2010
EIA923 SCHEDULES 2_3_4_5 M Final 2009 REVISED 05252011.XLS,GFD,2009
