Plant Name,Year,Utility,Plant State,Plant Code,Primary Mover,AER Fuel Code,Fuel Consumption MWh,Net Generation MWh,Efficiency
Kyrene,2004,Salt River Project,AZ,147,CA,NG,46756.094730000004,358985.0,7.677822582767277
Coolwater,2004,RRI Energy Coolwater LP,CA,329,CA,NG,79041.56513999999,152688.0,1.9317431243872247
Tom G Smith,2004,City of Lake Worth,FL,673,CA,NG,11073.06381,60676.999,5.4796937903674925
Coughlin Power Station,2004,Cleco Evangeline LLC,LA,1396,CA,NG,63159.22263,274819.0,4.351209349265545
Mystic Generating Station,2004,Boston Generating LLC,MA,1588,CA,NG,46917.28323,2866687.0,61.10087376429703
Hawthorn,2004,Kansas City Power & Light Co,MO,2079,CA,NG,37614.94836,38716.0,1.0292716509793447
Bryan,2004,City of Bryan,OH,2903,IC,DFO,0.87921,1.9609999999999999,2.230411392045132
Transalta Centralia Generation,2004,TransAlta Centralia Gen LLC,WA,3845,CA,NG,1642.36428,61519.0,37.457585231943796
Central Energy Plant,2004,Reedy Creek Improvement Dist,FL,7294,CA,NG,527.81907,22791.999,43.18146178386469
Redding Power,2004,City of Redding,CA,7307,CA,NG,9101.58192,71730.00200000001,7.881047781636622
Richard M Flynn,2004,New York Power Authority,NY,7314,CA,NG,779492.3463600001,835355.0,1.071665429302625
H Allen Franklin Combined Cycle,2004,Southern Power Co,AL,7710,CA,NG,74207.08242,921236.0,12.414394555845144
Allegany Cogen,2004,Rochester Gas & Electric Corp,NY,7784,CA,NG,7038.95526,25268.0,3.5897372645042216
Terry Bundy Generating Station,2004,Lincoln Electric System,NE,7887,CA,NG,239.14512000000002,5346.0,22.354627182022366
E B Harris Electric Generating Plant,2004,Southern Power Co,AL,7897,CA,NG,109820.94882,813153.0,7.40435234567845
Chattahoochee Energy Facility,2004,Oglethorpe Power Corporation,GA,7917,CA,NG,1134.1809,283751.0,250.1814304931427
Wansley Unit 9,2004,Municipal Electric Authority,GA,7946,CA,NG,134243.05805999998,253167.0,1.8858852268312216
Kinsleys Landfill,2004,Kinsley's Landfill Inc,NJ,10045,IC,MLG,274.31352000000004,382.2,1.3932962545921908
