,Median,StDev
HY,0.0021590651465279395,0.00017259393967823412
CT,-0.006387443646597556,0.013985855667797462
ST,0.0017015859359338138,0.023667263529631524
GT,-0.0018425845663491037,0.01651201056636122
CA,0.0028206461430257354,0.0004485104623879132
OT,-0.09653824198416251,0.044521338801429326
WT,0.002436141534685273,0.0003084448121609123
PV,0.002968514138373798,
IC,0.0040413457665027745,0.0060733340132210715
BT,,
CS,,
FC,,
NG,,
DFO,,
OTH,0.0040413457665027745,0.007228713363008867
OOG,0.0040413457665027745,0.007228713363008867
WOO,,
ORW,,
RFO,,
COL,,
MLG,,
PC,,
WWW,-0.0007659618667617627,0.024066957356523606
NUC,-0.0007659618667617627,0.024066957356523606
WOC,,
SUN,0.002158820379606638,0.029831518965278466
GEO,,
