,Median,StDev
HY,0.00215906469626294,0.0004822064479233837
CT,-0.0026718564774312254,0.0172998058306515
ST,0.00213735440352994,0.018104566726294374
IC,0.005587317114931007,0.023973539310615744
GT,-0.0016118819055354616,0.03123278229079913
CA,0.0023912300682232177,0.013866638782229995
OT,-0.09653824198416251,0.044521338801429326
WT,0.0025701352691366573,0.0010430469234715821
CS,0.0038973433859287865,0.005892593875818063
PV,0.007354386118912037,0.001863822914560068
PS,0.0010301239687068864,
BT,,
FC,,
CP,,
CT-NG,-0.0026718564774312254,0.018323514154012975
CT-DFO,-0.0026718564774312254,0.018323514154012975
CT-OTH,-0.0006884629301757248,0.01523116627649756
CT-OOG,-0.0026718564774312254,0.015903483227592163
CT-WOO,-0.0031842357656749554,0.018926677591930313
CT-ORW,-0.0026718564774312254,0.015903483227592163
CT-RFO,-0.0026718564774312254,0.015903483227592163
CT-COL,-0.0031842357656749554,0.018926677591930313
CT-MLG,-0.04307650245448685,
CT-PC,-0.04307650245448685,
CT-WWW,,
ST-COL,7.60503908714405e-05,0.01923594296835035
ST-DFO,0.0021589012802688823,0.017650831533854834
ST-NG,0.0021589012802688823,0.017650831533854834
ST-NUC,0.0021589012802688823,0.017650831533854834
ST-WWW,7.60503908714405e-05,0.01923594296835035
ST-RFO,0.0021589012802688823,0.017650831533854834
ST-ORW,7.60503908714405e-05,0.0171301035448929
ST-OTH,7.60503908714405e-05,0.01923594296835035
ST-MLG,0.0021589012802688823,0.017650831533854834
ST-OOG,7.60503908714405e-05,0.02019441854381195
ST-WOO,7.60503908714405e-05,0.01923594296835035
ST-PC,7.60503908714405e-05,0.01923594296835035
ST-WOC,-0.00876506114788051,0.0229686993158723
ST-SUN,0.0017015859359338138,0.019977650747984986
ST-GEO,0.0021590719232376303,0.0161170374565989
IC-DFO,0.004814331440716891,0.025097109221483695
IC-NG,0.004814331440716891,0.025097109221483695
IC-MLG,0.004814331440716891,0.025097109221483695
IC-ORW,0.005587317114931007,0.02506914417444133
IC-OTH,0.005587317114931007,0.02506914417444133
IC-OOG,0.0040413457665027745,0.018244117495056097
IC-RFO,,
IC-WOO,,
IC-COL,,
IC-PC,,
IC-WOC,,
GT-DFO,-0.0017335582699826713,0.0318056727383703
GT-NG,-0.0017335582699826713,0.0318056727383703
GT-WOO,-0.0016727200877590664,0.03213587509043939
GT-OOG,-0.0016727200877590664,0.03213587509043939
GT-MLG,-0.0016727200877590664,0.03213587509043939
GT-ORW,-0.0016727200877590664,0.03213587509043939
GT-COL,0.0010622901190846152,0.020581296241459383
GT-PC,0.0013678121480492757,0.018287269403988133
GT-RFO,-0.0017335582699826713,0.0318056727383703
GT-WOC,,
CA-NG,0.0011980889334610955,0.01929951702634486
CA-DFO,0.0011980889334610955,0.01929951702634486
CA-OOG,0.0023912300682232177,0.0016814033486090196
CA-WOO,0.0023912300682232177,0.0016814033486090196
CA-OTH,0.0023912300682232177,0.0016814033486090196
CA-ORW,0.0023912300682232177,0.0016814033486090196
CA-MLG,-0.036619172555860204,
CA-RFO,,
CA-COL,,
CA-PC,,
OT-OTH,-0.04676187197951502,0.0703944175462738
OT-PC,-0.09653824198416251,
OT-NG,-0.09653824198416251,
OT-OOG,-0.09653824198416251,
OT-GEO,,
CS-NG,0.0038973433859287865,0.007216924128601659
CS-OOG,0.0038973433859287865,0.007216924128601659
CS-DFO,,
PS-HPS,0.0010301239687068864,
PS-HYC,,
BT-GEO,,
BT-OTH,,
FC-NG,,
FC-ORW,,
FC-MLG,,
