,Median,StDev
IC,0.13279818855953707,0.0
WT,,
PV,,
CA,,
OT,,
HY,,
GT,,
ST,,
CT,,
FC,,
BT,,
CP,,
CS,,
IC-DFO,0.13279818855953707,
IC-NG,0.13279818855953707,
IC-MLG,0.13279818855953707,
IC-ORW,,
IC-OTH,,
IC-OOG,,
IC-RFO,,
IC-WOO,,
IC-COL,,
IC-PC,,
IC-WOC,,
CA-NG,,
CA-DFO,,
CA-MLG,,
CA-ORW,,
CA-OOG,,
CA-WOO,,
CA-OTH,,
CA-COL,,
CA-RFO,,
CA-PC,,
CA-SUN,,
GT-DFO,,
GT-NG,,
GT-WOO,,
GT-MLG,,
GT-OOG,,
GT-RFO,,
GT-ORW,,
GT-COL,,
ST-NG,,
ST-DFO,,
ST-RFO,,
ST-GEO,,
ST-NUC,,
ST-MLG,,
ST-ORW,,
ST-COL,,
ST-PC,,
ST-WWW,,
ST-OTH,,
ST-SUN,,
ST-OOG,,
ST-WOO,,
ST-WOC,,
CT-NG,,
CT-DFO,,
CT-ORW,,
CT-OOG,,
CT-WOO,,
CT-MLG,,
CT-OTH,,
CT-COL,,
CT-PC,,
CT-RFO,,
FC-NG,,
FC-ORW,,
FC-MLG,,
BT-GEO,,
BT-OTH,,
