,State,Sector,m,b,Rsq,Std Error
0,United States , all sectors,0.09628094353556252,-183.1040307983922,0.5194753270971728,0.02568289905150434
1,United States , residential,0.14294141819923073,-274.95219703444786,0.7323111809165929,0.023969208539299954
2,United States , commercial,0.04752607082592684,-84.68701287159456,0.20284375169756055,0.02613070606730963
3,United States , industrial,0.05475628690591679,-102.90078716102978,0.2878883177244311,0.02388495066221457
4,United States , transportation,,,,
5,United States , other,,,,
6,New England , all sectors,0.1822629948309008,-350.5529135844788,0.22881264888804284,0.0928040138779015
7,New England , residential,0.23587324112781688,-456.3738880148016,0.31402165603042287,0.09669018729664342
8,New England , commercial,0.12635504085921234,-238.5952454545919,0.12336480819106839,0.09341889005927545
9,New England , industrial,0.17223449994068443,-333.27275395118863,0.19777116559778016,0.09620909282318844
10,New England , transportation,,,,
11,New England , other,,,,
12,Connecticut , all sectors,0.39526109869845527,-777.2958700452649,0.4130287550287418,0.13068648174264225
13,Connecticut , residential,0.46444941628671105,-914.0956646312019,0.4420033509800495,0.14473373168740442
14,Connecticut , commercial,0.3161578556162331,-619.3759561884381,0.3280747195818081,0.12548921673337013
15,Connecticut , industrial,0.3017217410407289,-592.8131482812249,0.3078377231075219,0.12548100056947806
16,Connecticut , transportation,,,,
17,Connecticut , other,,,,
18,Maine , all sectors,-0.027253420535145893,68.24825691704527,0.008250162322147056,0.08287416464899647
19,Maine , residential,-0.05646524377640589,129.7918391883639,0.04338942442739112,0.07353348948548737
20,Maine , commercial,-0.10814234533955526,230.59345125724147,0.20910866037518175,0.058330608644896996
21,Maine , industrial,-0.003591121077775978,17.135162915502917,5.365138335183325e-05,0.13597412071609052
22,Maine , transportation,,,,
23,Maine , other,,,,
24,Massachusetts , all sectors,0.13612204731075597,-257.78482977024635,0.11962361127056274,0.10241947255318219
25,Massachusetts , residential,0.18475660837911007,-354.0738156373959,0.16873496081366796,0.1137353649137515
26,Massachusetts , commercial,0.0856773188038438,-156.56423875119054,0.05037553862989419,0.10317162862050082
27,Massachusetts , industrial,0.197088160401717,-382.3893664604331,0.22220423318657462,0.1022693470364155
28,Massachusetts , transportation,,,,
29,Massachusetts , other,,,,
30,New Hampshire , all sectors,0.12603224512115732,-237.76261440236834,0.2815072054354128,0.0558439908759122
31,New Hampshire , residential,0.18657247429690854,-357.67597218466756,0.5873558457931155,0.04337236417870519
32,New Hampshire , commercial,0.0894303524963299,-164.86349354893213,0.11389770412777561,0.06918273266730993
33,New Hampshire , industrial,0.022433682980255706,-31.968897413142614,0.007810832444696692,0.07012574401855176
34,New Hampshire , transportation,,,,
35,New Hampshire , other,,,,
36,Rhode Island , all sectors,0.14017690642789996,-266.60359112792116,0.14659161764677026,0.09380558120137555
37,Rhode Island , residential,0.1984172798119369,-382.03680172091504,0.24867821918967176,0.09565373453564073
38,Rhode Island , commercial,0.08290935373067487,-152.27294221762446,0.05306594170282605,0.09713679824654248
39,Rhode Island , industrial,0.09985935468920908,-187.79359357124514,0.08582419746803471,0.09039138990568123
40,Rhode Island , transportation,,,,
41,Rhode Island , other,,,,
42,Vermont , all sectors,0.09309983116753724,-172.76399067706282,0.5160503162060306,0.025005255601267477
43,Vermont , residential,0.12858032908822642,-241.48051146480006,0.5894103887268244,0.029764455490108355
44,Vermont , commercial,0.060581369504604084,-107.20563750706208,0.3309436418777309,0.023890307560756302
45,Vermont , industrial,0.05084371875120052,-91.83894979736644,0.3122577640379713,0.020927717147519027
46,Vermont , transportation,,,,
47,Vermont , other,,,,
48,Middle Atlantic , all sectors,0.07386202267938193,-134.72944197442968,0.16107419816810073,0.04675179684534807
49,Middle Atlantic , residential,0.1537913765235796,-292.94218962167196,0.5667394774460556,0.03729435795240478
50,Middle Atlantic , commercial,0.00036352400140839006,13.49431357055685,3.7609810792870046e-06,0.051988827506283336
51,Middle Atlantic , industrial,-0.02751308081722754,63.610697120083785,0.03180802747051829,0.0420997888419986
52,Middle Atlantic , transportation,,,,
53,Middle Atlantic , other,,,,
54,New Jersey , all sectors,0.19268574308721695,-372.8314969179667,0.337280495016105,0.074911271594158
55,New Jersey , residential,0.273225640682181,-532.9316118005797,0.49671588629590874,0.07627853840154523
56,New Jersey , commercial,0.14230381960841207,-272.26703281048407,0.19948606437280533,0.07906295610763862
57,New Jersey , industrial,0.06396547169110205,-116.79915396063632,0.06021602945410272,0.07008609927835883
58,New Jersey , transportation,,,,
59,New Jersey , other,,,,
60,New York , all sectors,0.06497189736548174,-113.97180350675498,0.05537582074915802,0.0744257661969595
61,New York , residential,0.1140024933387178,-209.7582147618456,0.25240944994509606,0.05441539299046466
62,New York , commercial,-0.04582006053138153,108.89060596083462,0.034580233135826866,0.06714723243467871
63,New York , industrial,-0.11458552585746712,238.57995543694292,0.10317696543146217,0.09369579228933589
64,New York , transportation,,,,
65,New York , other,,,,
66,Pennsylvania , all sectors,0.029095396150373067,-47.99288307525589,0.11402688230044186,0.022493614397824057
67,Pennsylvania , residential,0.12936489522098835,-246.86835772887505,0.6075087018318088,0.028839221302955218
68,Pennsylvania , commercial,-0.08488538018055129,180.9108020588758,0.5698774732004954,0.020453449892354217
69,Pennsylvania , industrial,0.008695244917262708,-9.791105635594013,0.01077037622846439,0.023112305138913193
70,Pennsylvania , transportation,,,,
71,Pennsylvania , other,,,,
72,East North Central , all sectors,0.1473733313552378,-286.70563450325824,0.8174353253003159,0.019316520423717565
73,East North Central , residential,0.23163063266585918,-453.5400531455808,0.8884510001684145,0.022763572306678685
74,East North Central , commercial,0.07241081473673934,-135.63139585521756,0.5951120412458546,0.01656531961224743
75,East North Central , industrial,0.10907178149002969,-212.41633240040363,0.6880584198843828,0.020368765459522587
76,East North Central , transportation,,,,
77,East North Central , other,,,,
78,Illinois , all sectors,0.05431868671637948,-99.87916976008142,0.1268811706302018,0.03951988514856751
