,Plant Name,Plant State,Primary Mover,AER Fuel Code,m,b,Rsq,Std Error
0,Bankhead Dam,AL,HY,HYC,,,,
1,Walter Bouldin Dam,AL,HY,HYC,,,,
2,H Neely Henry Dam,AL,HY,HYC,,,,
3,Holt Dam,AL,HY,HYC,,,,
4,Jordan Dam,AL,HY,HYC,,,,
5,Logan Martin Dam,AL,HY,HYC,,,,
6,Lay Dam,AL,HY,HYC,,,,
7,Martin Dam,AL,HY,HYC,,,,
8,Mitchell Dam,AL,HY,HYC,,,,
9,Lewis Smith Dam,AL,HY,HYC,,,,
10,Thurlow Dam,AL,HY,HYC,,,,
11,Weiss Dam,AL,HY,HYC,,,,
12,Yates Dam,AL,HY,HYC,,,,
13,Millers Ferry,AL,HY,HYC,,,,
14,Guntersville,AL,HY,HYC,,,,
15,Wheeler Dam,AL,HY,HYC,,,,
16,Gantt,AL,HY,HYC,,,,
17,Point A,AL,HY,HYC,,,,
18,Bartletts Ferry,AL,HY,HYC,,,,
19,Goat Rock,AL,HY,HYC,,,,
20,Langdale,AL,HY,HYC,,,,
21,Jones Bluff,AL,HY,HYC,,,,
22,Harris Dam,AL,HY,HYC,,,,
23,Wilson Dam,AL,HY,HYC,,,,
24,Barry,AL,CA,NG,,,,
25,McWilliams,AL,CA,NG,,,,
26,Washington County Cogeneration Facility,AL,CA,NG,,,,
27,General Electric Plastic,AL,CA,NG,,,,
28,H Allen Franklin Combined Cycle,AL,CA,NG,0.03622798366347388,-70.88574342757764,0.01950759513873541,0.11486280326327472
29,Theodore Cogen Facility,AL,CA,NG,,,,
30,E B Harris Electric Generating Plant,AL,CA,NG,-0.005022577797209849,12.084926185690838,0.0006940944178358396,0.11002870367610229
31,International Paper Riverdale Mill,AL,CA,NG,,,,
32,ExxonMobil Mobile Bay Onshore,AL,CA,NG,1.6738148488769404,-3362.840216330968,0.6590452695520018,0.6950843742170814
33,Hog Bayou Energy Center,AL,CA,NG,,,,
34,Decatur Energy Center,AL,CA,NG,0.9146494611407878,-1838.1163322083096,0.4214439175441584,0.7577789233274782
35,Morgan Energy Center,AL,CA,NG,-0.21288826813035897,431.1610173573901,0.08474913926803536,0.4039182969162188
36,Tenaska Central Alabama Generating Stn,AL,CA,NG,,,,
37,Tenaska Lindsay Hill Generating Station,AL,CA,NG,,,,
38,Hillabee Energy Center,AL,CA,NG,-0.15957093985929932,324.5117134168871,0.18874032710987756,0.19100325482233413
39,Barry,AL,CA,DFO,,,,
40,McWilliams,AL,CA,DFO,,,,
41,Washington County Cogeneration Facility,AL,CA,DFO,,,,
42,General Electric Plastic,AL,CA,DFO,,,,
43,H Allen Franklin Combined Cycle,AL,CA,DFO,0.03622798366347388,-70.88574342757764,0.01950759513873541,0.11486280326327472
44,Theodore Cogen Facility,AL,CA,DFO,,,,
45,E B Harris Electric Generating Plant,AL,CA,DFO,-0.005022577797209849,12.084926185690838,0.0006940944178358396,0.11002870367610229
46,International Paper Riverdale Mill,AL,CA,DFO,,,,
47,ExxonMobil Mobile Bay Onshore,AL,CA,DFO,1.6738148488769404,-3362.840216330968,0.6590452695520018,0.6950843742170814
48,Hog Bayou Energy Center,AL,CA,DFO,,,,
49,Decatur Energy Center,AL,CA,DFO,0.9146494611407878,-1838.1163322083096,0.4214439175441584,0.7577789233274782
50,Morgan Energy Center,AL,CA,DFO,-0.21288826813035897,431.1610173573901,0.08474913926803536,0.4039182969162188
51,Tenaska Central Alabama Generating Stn,AL,CA,DFO,,,,
52,Tenaska Lindsay Hill Generating Station,AL,CA,DFO,,,,
53,Hillabee Energy Center,AL,CA,DFO,-0.15957093985929932,324.5117134168871,0.18874032710987756,0.19100325482233413
54,Barry,AL,CA,OTH,,,,
55,McWilliams,AL,CA,OTH,,,,
56,Washington County Cogeneration Facility,AL,CA,OTH,,,,
57,General Electric Plastic,AL,CA,OTH,,,,
58,H Allen Franklin Combined Cycle,AL,CA,OTH,0.03622798366347388,-70.88574342757764,0.01950759513873541,0.11486280326327472
59,Theodore Cogen Facility,AL,CA,OTH,,,,
60,E B Harris Electric Generating Plant,AL,CA,OTH,-0.005022577797209849,12.084926185690838,0.0006940944178358396,0.11002870367610229
61,International Paper Riverdale Mill,AL,CA,OTH,,,,
62,ExxonMobil Mobile Bay Onshore,AL,CA,OTH,1.6738148488769404,-3362.840216330968,0.6590452695520018,0.6950843742170814
63,Hog Bayou Energy Center,AL,CA,OTH,,,,
64,Decatur Energy Center,AL,CA,OTH,0.9146494611407878,-1838.1163322083096,0.4214439175441584,0.7577789233274782
65,Morgan Energy Center,AL,CA,OTH,-0.21288826813035897,431.1610173573901,0.08474913926803536,0.4039182969162188
66,Tenaska Central Alabama Generating Stn,AL,CA,OTH,,,,
67,Tenaska Lindsay Hill Generating Station,AL,CA,OTH,,,,
68,Hillabee Energy Center,AL,CA,OTH,-0.15957093985929932,324.5117134168871,0.18874032710987756,0.19100325482233413
69,Barry,AL,CT,NG,,,,
70,McWilliams,AL,CT,NG,,,,
71,Washington County Cogeneration Facility,AL,CT,NG,,,,
72,General Electric Plastic,AL,CT,NG,,,,
73,H Allen Franklin Combined Cycle,AL,CT,NG,0.03622798366347388,-70.88574342757764,0.01950759513873541,0.11486280326327472
74,Theodore Cogen Facility,AL,CT,NG,,,,
75,E B Harris Electric Generating Plant,AL,CT,NG,-0.005022577797209849,12.084926185690838,0.0006940944178358396,0.11002870367610229
76,International Paper Riverdale Mill,AL,CT,NG,,,,
77,ExxonMobil Mobile Bay Onshore,AL,CT,NG,1.6738148488769404,-3362.840216330968,0.6590452695520018,0.6950843742170814
78,Hog Bayou Energy Center,AL,CT,NG,,,,
79,Tenaska Lindsay Hill Generating Station,AL,CT,NG,,,,
80,Decatur Energy Center,AL,CT,NG,0.9146494611407878,-1838.1163322083096,0.4214439175441584,0.7577789233274782
81,Morgan Energy Center,AL,CT,NG,-0.21288826813035897,431.1610173573901,0.08474913926803536,0.4039182969162188
82,Tenaska Central Alabama Generating Stn,AL,CT,NG,,,,
83,Hillabee Energy Center,AL,CT,NG,-0.15957093985929932,324.5117134168871,0.18874032710987756,0.19100325482233413
84,Barry,AL,CT,DFO,,,,
85,McWilliams,AL,CT,DFO,,,,
86,Washington County Cogeneration Facility,AL,CT,DFO,,,,
87,General Electric Plastic,AL,CT,DFO,,,,
88,H Allen Franklin Combined Cycle,AL,CT,DFO,0.03622798366347388,-70.88574342757764,0.01950759513873541,0.11486280326327472
89,Theodore Cogen Facility,AL,CT,DFO,,,,
