Unnamed: 0,Year,Utility,Plant State,Plant Code,NERC Region,Census Region,Primary Mover,AER Fuel Code,Fuel Consumption MWh,Net Generation MWh,Efficiency,County,Zipcode
677,2001.0,New Smyrna Beach Utilities Commission,FL,681,FRCC,SAT ,  ,NG,855.1782599999999,1452.0,1.6978916185264108,Volusia,32168.0
1579,2001.0,City of Hart Hydro,MI,1827,,ENC ,  ,NG,3.51684,6.0,1.706077046439417,Oceana,49400.0
1769,2001.0,Clarksdale Public Utilities,MS,2060,SPP,ESC ,  ,NG,112.24581,528.0,4.703961778172388,Coahoma,38614.0
1857,2001.0,City of Palmyra,MO,2150,,WNC ,  ,NG,4.1029800000000005,7.997999999999999,1.9493148882032083,Marion,63461.0
3140,2001.0,North Central Power Co Inc,WI,3996,,ENC ,  ,DFO,0.87921,1.001,1.1385220823239044,Sawyer,54867.0
4417,2001.0,Jefferson Smurfit Corp,FL,10202,,SAT ,  ,WWW,89781.70143,114544.0,1.2758056282694352,Nassau,32034.0
4661,2001.0,Boise White Paper LLC,MN,10486,,WNC ,  ,ORW,610.75788,727.5,1.1911430434593822,Koochiching,56649.0
4662,2001.0,Boise White Paper LLC,MN,10486,,WNC ,  ,WWW,29322.825780000003,38060.86,1.2979942753661855,Koochiching,56649.0
5517,2001.0,Port Townsend Paper Co,WA,50544,,PACC,  ,WWW,5793.40776,7372.97,1.2726482073134793,Jefferson,98368.0
5552,2001.0,Wausau Paper Specialty Products LLC,WI,50614,,ENC ,  ,COL,24272.64354,30328.02,1.2494732990257558,Marathon,54455.0
5553,2001.0,Wausau Paper Specialty Products LLC,WI,50614,,ENC ,  ,WWW,24006.82905,42839.08,1.7844539114589981,Marathon,54455.0
5554,2001.0,Wausau Paper Specialty Products LLC,WI,50614,,ENC ,  ,ORW,1347.8289300000001,4034.23,2.993132073519152,Marathon,54455.0
5556,2001.0,Wausau Paper Specialty Products LLC,WI,50614,,ENC ,  ,WWW,8603.36292,24472.13,2.8444842124595624,Marathon,54455.0
5662,2001.0,Phelps Dodge Mining Co,AZ,50738,,MTN ,  ,DFO,94.95468000000001,166.99900000000002,1.7587232140638038,Pima,85321.0
6184,2001.0,Bowater Nwprt Coosa Pines Op,AL,54216,,ESC ,  ,WWW,126489.01199999999,132623.0,1.0484942360052587,Talladega,35044.0
6741,2001.0,Cargill Inc,MI,54965,,ENC ,  ,NG,6179.96709,7189.0,1.1632748031349145,St Clair,48079.0
6821,2001.0,Georgia Gulf Corp,LA,55051,,WSC ,  ,OTH,275016.59493,693631.906,2.522145640616888,Iberville,70765.0
1821,2002.0,City of Hart Hydro,MI,1827,ECAR,ENC ,  ,NG,3.51684,4.9,1.3932962545921908,Oceana,49420.0
3276,2002.0,TXU Generation Co LP,TX,3507,ERCOT,WSC ,  ,DFO,31.651559999999996,7326.0,231.4577859669476,Henderson,75163.0
4975,2002.0,Mars Chocolate North America LLC,NJ,10061,MAAC,MAT ,  ,NG,24498.89358,78814.99799999999,3.217083977389969,Warren,7840.0
5004,2002.0,Foss Manufacturing Company LLC,NH,10108,NPCC,NEW ,  ,DFO,3477.8616899999997,7537.001,2.1671364970238365,Rockingham,3842.0
5138,2002.0,Ford Motor Co,MI,10235,ECAR,ENC ,  ,NG,1933.08972,4230.001,2.1882072809326205,Washtenaw,48197.0
5280,2002.0,Little Co of Mary Hospital,IL,10400,MAIN,ENC ,  ,NG,11552.8194,18232.002,1.5781430808136756,Cook,60805.0
5463,2002.0,Vintage Production California LLC,CA,10602,WECC,PACC,  ,NG,938.4101400000001,5205.999,5.54767982366431,Ventura,93001.0
5600,2002.0,Red Shield Acquisition LLC,ME,10700,NPCC,NEW ,  ,NG,3081.04491,3869.0,1.255742812265596,Penobscot,4468.0
5768,2002.0,Los Angeles County,CA,10884,WECC,PACC,  ,NG,13246.764,15735.001,1.1878373465398795,Los Angeles,91342.0
5819,2002.0,Santa Cruz Cogeneration Assoc,CA,50064,WECC,PACC,  ,DFO,505.54575,8589.001,16.989562270081393,Santa Cruz,95064.0
6070,2002.0,Park 500 Philip Morris USA,VA,50275,SERC,SAT ,  ,COL,22539.13449,93491.0,4.1479409975338415,Chesterfield,23836.0
6100,2002.0,Ripon Cogeneration LLC,CA,50300,WECC,PACC,  ,NG,204613.85418,328761.0,1.6067387094462675,Los Angeles,91768.0
6509,2002.0,Exxon Mobil Production Co,LA,50728,SERC,WSC ,  ,NG,335.56515,1948.0,5.805132028758052,St Mary,70522.0
6907,2002.0,Merck & Co Inc,VA,52148,SERC,SAT ,  ,DFO,162.94692,209.519,1.2858113550105763,Rockingham,22827.0
6908,2002.0,Merck & Co Inc,VA,52148,SERC,SAT ,  ,NG,9577.820670000001,12313.18,1.2855930826276372,Rockingham,22827.0
6967,2002.0,Pacific Recovery Corp,CA,52206,WECC,PACC,  ,MLG,18064.24866,25479.001,1.410465582021057,Ventura,93030.0
7147,2002.0,WPI Packaging & Maint Co Inc,CA,54252,WECC,PACC,  ,MLG,530.16363,1809.001,3.412155979088946,Santa Clara,94303.0
7307,2002.0,Plains Exploration & Production Company,CA,54447,WECC,PACC,  ,NG,38486.24547,39095.14,1.0158210945901345,Kern,93251.0
7308,2002.0,Plains Exploration & Production Company,CA,54449,WECC,PACC,  ,NG,45970.080989999995,59555.579000000005,1.2955291293255558,Kern,93224.0
7320,2002.0,Riverwood Intl USA Inc,GA,54464,SERC,SAT ,  ,DFO,14606.6088,18530.278000000002,1.2686228715867298,Bibb,31205.0
7415,2002.0,University of Michigan NCampus Research,MI,54604,ECAR,ENC ,  ,NG,4866.134279999999,22667.4,4.65819451246216,Washtenaw,48105.0
7844,2002.0,Tiverton Power Inc,RI,55048,NPCC,NEW ,  ,OTH,163958.0115,587377.66,3.5824883128690552,Newport,2878.0
7845,2002.0,Sierra Pacific Industries Inc,CA,55049,WECC,PACC,  ,WWW,32779.8795,39273.361,1.1980935134310058,Shasta,96007.0
8130,2002.0,Air Products & Chemicals Inc,KY,55308,ECAR,ESC ,  ,NG,178150.21932,198308.88,1.113155407593354,Marshall,42029.0
8327,2002.0,Bayswater Peaking Facility LLC,NY,55699,NPCC,MAT ,  ,NG,14354.5686,44703.0,3.114200171783637,Queens,11691.0
8369,2002.0,Otsego Paper Inc,MI,55799,ECAR,ENC ,  ,NG,121972.8033,160214.001,1.31352233174426,Allegan,49078.0
151,2003.0,Salt River Project,AZ,147,WECC,MTN ,CA,NG,30611.747639999998,237171.0,7.7477118519718715,Maricopa,85072.0
360,2003.0,RRI Energy Coolwater LP,CA,329,WECC,PACC,CA,NG,221273.12526,320770.0,1.4496563901426769,San Bernardino,92327.0
1684,2003.0,Cleco Evangeline LLC,LA,1396,SPP,WSC ,CA,NG,49384.34649,406180.0,8.22487344410336,Evangeline,71367.0
1835,2003.0,Boston Generating LLC,MA,1588,NPCC,NEW ,CA,NG,57149.23614,1988092.0,34.787726560854075,Middlesex,2129.0
2771,2003.0,City of Farmington,NM,2465,WECC,MTN ,CA,NG,34211.52645,41993.001,1.2274518373616738,San Juan,87401.0
3923,2003.0,TransAlta Centralia Gen LLC,WA,3845,WECC,PACC,CA,NG,3984.28665,74431.0,18.6811358063306,Lewis,98531.0
4695,2003.0,Waverly Municipal Elec Utility,IA,6554,MAPP,WNC ,IC,NG,1312.9536,1542.9979999999998,1.175211370759789,Bremer,50677.0
4780,2003.0,City of Chanute,KS,7018,SPP,WNC ,IC,DFO,2360.38578,5772.999000000002,2.4457862138112016,Neosho,66720.0
4916,2003.0,Reedy Creek Improvement Dist,FL,7294,FRCC,SAT ,CA,NG,209.25198,27477.999,131.31535959659738,Orange,32830.0
4931,2003.0,City of Redding,CA,7307,WECC,PACC,CA,NG,25272.89145,46278.0,1.8311319894503009,Shasta,96001.0
5148,2003.0,Southern Power Co,AL,7710,SERC,ESC ,CA,NG,19933.15605,476747.0,23.91728629446013,Lee,36877.0
