Year,Utility,Net Generation MWh,Plant State,Primary Mover
2004,Alabama Power Co,0.056116385103044425,,HY
2004,Alabama Power Co,0.00035325286044420875,,CA
2004,Alabama Power Co,0.0768500126062554,,CT
2004,Alabama Power Co,0.8644453028699214,,ST
2004,Alabama Power Co,0.0022350465603344274,,GT
2004,Alabama Power Co,0.0,,IC
2004,Alabama Power Co,0.0,,CS
2004,Alabama Power Co,0.0,,PV
2004,Alabama Power Co,0.0,,PS
2004,Alabama Power Co,0.0,,WT
2004,Alabama Power Co,0.0,,OT
2004,Alabama Power Co,0.0,,BT
2004,Alabama Power Co,0.0,,FC
2004,Alabama Power Co,0.0,,CP
2004,El Paso Electric Co,0.0,,HY
2004,El Paso Electric Co,0.0,,CA
2004,El Paso Electric Co,0.3532507010119959,,CT
2004,El Paso Electric Co,0.6432009666629851,,ST
2004,El Paso Electric Co,0.0025369957947522595,,GT
2004,El Paso Electric Co,0.0,,IC
2004,El Paso Electric Co,0.0,,CS
2004,El Paso Electric Co,0.0,,PV
2004,El Paso Electric Co,0.0,,PS
2004,El Paso Electric Co,0.001011336530266739,,WT
2004,El Paso Electric Co,0.0,,OT
2004,El Paso Electric Co,0.0,,BT
2004,El Paso Electric Co,0.0,,FC
2004,El Paso Electric Co,0.0,,CP
2004,Nevada Irrigation District,1.0,,HY
2004,Nevada Irrigation District,0.0,,CA
2004,Nevada Irrigation District,0.0,,CT
2004,Nevada Irrigation District,0.0,,ST
2004,Nevada Irrigation District,0.0,,GT
2004,Nevada Irrigation District,0.0,,IC
2004,Nevada Irrigation District,0.0,,CS
2004,Nevada Irrigation District,0.0,,PV
2004,Nevada Irrigation District,0.0,,PS
2004,Nevada Irrigation District,0.0,,WT
2004,Nevada Irrigation District,0.0,,OT
2004,Nevada Irrigation District,0.0,,BT
2004,Nevada Irrigation District,0.0,,FC
2004,Nevada Irrigation District,0.0,,CP
2004,USCE-Mobile District,1.0,,HY
2004,USCE-Mobile District,0.0,,CA
2004,USCE-Mobile District,0.0,,CT
2004,USCE-Mobile District,0.0,,ST
2004,USCE-Mobile District,0.0,,GT
2004,USCE-Mobile District,0.0,,IC
2004,USCE-Mobile District,0.0,,CS
2004,USCE-Mobile District,0.0,,PV
2004,USCE-Mobile District,0.0,,PS
2004,USCE-Mobile District,0.0,,WT
2004,USCE-Mobile District,0.0,,OT
2004,USCE-Mobile District,0.0,,BT
2004,USCE-Mobile District,0.0,,FC
2004,USCE-Mobile District,0.0,,CP
2004,Tennessee Valley Authority,0.0935265888211415,,HY
2004,Tennessee Valley Authority,0.0,,CA
2004,Tennessee Valley Authority,0.007771977636867982,,CT
2004,Tennessee Valley Authority,0.8965742637024938,,ST
2004,Tennessee Valley Authority,0.001607876564223385,,GT
2004,Tennessee Valley Authority,5.2057749170892635e-06,,IC
2004,Tennessee Valley Authority,0.0,,CS
2004,Tennessee Valley Authority,0.0,,PV
2004,Tennessee Valley Authority,0.0004902010746536125,,PS
2004,Tennessee Valley Authority,2.3886425702600918e-05,,WT
2004,Tennessee Valley Authority,0.0,,OT
2004,Tennessee Valley Authority,0.0,,BT
2004,Tennessee Valley Authority,0.0,,FC
2004,Tennessee Valley Authority,0.0,,CP
2004,Cleco Power LLC,0.0,,HY
2004,Cleco Power LLC,0.0,,CA
2004,Cleco Power LLC,0.0,,CT
2004,Cleco Power LLC,1.0,,ST
2004,Cleco Power LLC,0.0,,GT
2004,Cleco Power LLC,0.0,,IC
2004,Cleco Power LLC,0.0,,CS
2004,Cleco Power LLC,0.0,,PV
2004,Cleco Power LLC,0.0,,PS
2004,Cleco Power LLC,0.0,,WT
2004,Cleco Power LLC,0.0,,OT
2004,Cleco Power LLC,0.0,,BT
2004,Cleco Power LLC,0.0,,FC
2004,Cleco Power LLC,0.0,,CP
2004,PowerSouth Energy Cooperative,0.006011950892924996,,HY
2004,PowerSouth Energy Cooperative,0.0,,CA
2004,PowerSouth Energy Cooperative,0.1787501121839344,,CT
2004,PowerSouth Energy Cooperative,0.8016138071587543,,ST
2004,PowerSouth Energy Cooperative,0.01362412976438623,,GT
2004,PowerSouth Energy Cooperative,0.0,,IC
2004,PowerSouth Energy Cooperative,0.0,,CS
2004,PowerSouth Energy Cooperative,0.0,,PV
2004,PowerSouth Energy Cooperative,0.0,,PS
2004,PowerSouth Energy Cooperative,0.0,,WT
2004,PowerSouth Energy Cooperative,0.0,,OT
2004,PowerSouth Energy Cooperative,0.0,,BT
2004,PowerSouth Energy Cooperative,0.0,,FC
2004,PowerSouth Energy Cooperative,0.0,,CP
2004,"East Kentucky Power Coop, Inc",0.0,,HY
2004,"East Kentucky Power Coop, Inc",0.0,,CA
2004,"East Kentucky Power Coop, Inc",0.0,,CT
2004,"East Kentucky Power Coop, Inc",0.9757367073809605,,ST
2004,"East Kentucky Power Coop, Inc",0.01763568755479023,,GT
2004,"East Kentucky Power Coop, Inc",0.0066276050642492135,,IC
2004,"East Kentucky Power Coop, Inc",0.0,,CS
2004,"East Kentucky Power Coop, Inc",0.0,,PV
2004,"East Kentucky Power Coop, Inc",0.0,,PS
2004,"East Kentucky Power Coop, Inc",0.0,,WT
2004,"East Kentucky Power Coop, Inc",0.0,,OT
2004,"East Kentucky Power Coop, Inc",0.0,,BT
2004,"East Kentucky Power Coop, Inc",0.0,,FC
2004,"East Kentucky Power Coop, Inc",0.0,,CP
2004,Alaska Electric Light&Power Co,0.9949440055357177,,HY
2004,Alaska Electric Light&Power Co,0.0,,CA
2004,Alaska Electric Light&Power Co,0.0,,CT
2004,Alaska Electric Light&Power Co,0.0,,ST
2004,Alaska Electric Light&Power Co,0.003320630299675206,,GT
2004,Alaska Electric Light&Power Co,0.0017353641646069033,,IC
2004,Alaska Electric Light&Power Co,0.0,,CS
2004,Alaska Electric Light&Power Co,0.0,,PV
2004,Alaska Electric Light&Power Co,0.0,,PS
2004,Alaska Electric Light&Power Co,0.0,,WT
2004,Alaska Electric Light&Power Co,0.0,,OT
2004,Alaska Electric Light&Power Co,0.0,,BT
2004,Alaska Electric Light&Power Co,0.0,,FC
2004,Alaska Electric Light&Power Co,0.0,,CP
2004,Alaska Power Co,0.7212188031908106,,HY
2004,Alaska Power Co,0.0,,CA
2004,Alaska Power Co,0.0,,CT
2004,Alaska Power Co,0.0,,ST
2004,Alaska Power Co,0.0,,GT
2004,Alaska Power Co,0.2787811968091895,,IC
2004,Alaska Power Co,0.0,,CS
2004,Alaska Power Co,0.0,,PV
2004,Alaska Power Co,0.0,,PS
2004,Alaska Power Co,0.0,,WT
2004,Alaska Power Co,0.0,,OT
2004,Alaska Power Co,0.0,,BT
2004,Alaska Power Co,0.0,,FC
2004,Alaska Power Co,0.0,,CP
2004,Ketchikan Public Utilities,1.0,,HY
2004,Ketchikan Public Utilities,0.0,,CA
2004,Ketchikan Public Utilities,0.0,,CT
2004,Ketchikan Public Utilities,0.0,,ST
2004,Ketchikan Public Utilities,0.0,,GT
2004,Ketchikan Public Utilities,0.0,,IC
2004,Ketchikan Public Utilities,0.0,,CS
2004,Ketchikan Public Utilities,0.0,,PV
2004,Ketchikan Public Utilities,0.0,,PS
2004,Ketchikan Public Utilities,0.0,,WT
2004,Ketchikan Public Utilities,0.0,,OT
2004,Ketchikan Public Utilities,0.0,,BT
2004,Ketchikan Public Utilities,0.0,,FC
2004,Ketchikan Public Utilities,0.0,,CP
2004,Kodiak Electric Assn Inc,0.9837521711408658,,HY
2004,Kodiak Electric Assn Inc,0.0,,CA
2004,Kodiak Electric Assn Inc,0.0,,CT
2004,Kodiak Electric Assn Inc,0.0,,ST
2004,Kodiak Electric Assn Inc,0.0,,GT
2004,Kodiak Electric Assn Inc,0.016247828859134183,,IC
2004,Kodiak Electric Assn Inc,0.0,,CS
2004,Kodiak Electric Assn Inc,0.0,,PV
2004,Kodiak Electric Assn Inc,0.0,,PS
2004,Kodiak Electric Assn Inc,0.0,,WT
2004,Kodiak Electric Assn Inc,0.0,,OT
2004,Kodiak Electric Assn Inc,0.0,,BT
2004,Kodiak Electric Assn Inc,0.0,,FC
2004,Kodiak Electric Assn Inc,0.0,,CP
2004,Metropolitan Water District of S CA,1.0,,HY
2004,Metropolitan Water District of S CA,0.0,,CA
2004,Metropolitan Water District of S CA,0.0,,CT
2004,Metropolitan Water District of S CA,0.0,,ST
2004,Metropolitan Water District of S CA,0.0,,GT
2004,Metropolitan Water District of S CA,0.0,,IC
2004,Metropolitan Water District of S CA,0.0,,CS
2004,Metropolitan Water District of S CA,0.0,,PV
2004,Metropolitan Water District of S CA,0.0,,PS
2004,Metropolitan Water District of S CA,0.0,,WT
2004,Metropolitan Water District of S CA,0.0,,OT
2004,Metropolitan Water District of S CA,0.0,,BT
2004,Metropolitan Water District of S CA,0.0,,FC
2004,Metropolitan Water District of S CA,0.0,,CP
2004,Anchorage Municipal Light and Power,0.16541638565546082,,HY
2004,Anchorage Municipal Light and Power,0.0,,CA
2004,Anchorage Municipal Light and Power,0.5635118553845657,,CT
2004,Anchorage Municipal Light and Power,0.0,,ST
2004,Anchorage Municipal Light and Power,0.2709336003940943,,GT
2004,Anchorage Municipal Light and Power,0.00013815856587915518,,IC
2004,Anchorage Municipal Light and Power,0.0,,CS
2004,Anchorage Municipal Light and Power,0.0,,PV
2004,Anchorage Municipal Light and Power,0.0,,PS
2004,Anchorage Municipal Light and Power,0.0,,WT
2004,Anchorage Municipal Light and Power,0.0,,OT
2004,Anchorage Municipal Light and Power,0.0,,BT
2004,Anchorage Municipal Light and Power,0.0,,FC
