UTILCODE,PLNTCODE,PLNTNAME,CNTYNAME,STATE,PLNTZIP,WATSOURCE,NERC,NAICS,SERVAREA
7,10867,A E Staley Decatur Plant Cogen,Macon,IL,62525,Municipality,MAIN,311,Illinois Power Co
8,50903,Sagamore Plant Cogeneration,Tippecanoe,IN,47904,Wells,ECAR,311,PSI Energy Inc
20,55454,AES Cypress LLC,Mississippi,AR,72426,Municipal/Demineralized,SERC,22,Entergy Arkansas Inc
21,10671,AES Shady Point,Leflore,OK,74951,Poteau River,SPP,22,Oklahoma Gas & Electric Co
23,54750,A B Energy,Kern,CA,93561,,WECC,22,Southern California Edison Co
25,2527,AES Greenidge LLC,Yates,NY,14441,Seneca Lake,NPCC,22,New York State Elec & Gas Corp
34,3305,Rocky River,Abbeville,SC,29655,Lake Secession,SERC,22,
35,10678,AES Warrior Run Cogeneration Facility,Allegany,MD,21502,City Of Cumberland Water Suppl,ECAR,22,The Potomac Edison Co
39,2529,AES Hickling LLC,Steuben,NY,14830,Chemung River,NPCC,22,New York State Elec & Gas Corp
40,55788,Hospira Inc.,Erie,NY,14225,,NPCC,325211,New York State Elec & Gas Corp
42,10675,AES Thames,New London,CT,6382,Thames River,NPCC,22,Connecticut Light & Power Co
46,55631,AES Hoytdale LLC,Beaver,PA,16157,Beaver River,ECAR,22,Pennsylvania Power Co
52,10002,ACE Cogeneration Facility,San Bernardino,CA,93562,Wells,WECC,22,Southern California Edison Co
56,50805,Abitibi Consolidated Snowflake,Navajo,AZ,85937,Wells,WECC,322122,Arizona Public Service Co
60,55636,St Joseph County Generating Facility,St Joseph,IN,46552,,ECAR,22,American Electric Power Co Inc
65,50249,Abitibi Consolidated Lufkin,Angelina,TX,75902,Wells,ERCOT,322122,TXU Electric Delivery Company
82,10819,Ada Cogeneration LP,Kent,MI,49355,City Water,ECAR,22,Consumers Energy Company
84,6390,Tangier,Accomack,VA,23440,Wells,MAAC,22,
84,6391,Smith Island,Somerset,MD,21824,Wells,MAAC,22,
88,55170,Granite Ridge,Rockingham,NH,3053,Manchester Wastewater Treatmen,NPCC,22,Public Service Co of NH
109,10223,AG Processing Inc,Wright,IA,50533,Well,MRO,311,MidAmerican Energy Co
114,55459,Addis Energy Center,West Baton Rouge,LA,70710,Mississippi River,SERC,325,Entergy Louisiana Inc
135,10593,Agrilectric Power Partners Ltd,Calcasieu,LA,70615,Rainwater Cooling,SERC,22,Entergy Gulf States Inc
142,10676,AES Beaver Valley Partners Beaver Valley,Beaver,PA,15061,Nova Chemical Co,ECAR,22,Duquesne Light Co
150,1956,Adrian,Nobles,MN,56110,N/A,MRO,22,
151,10467,Fourth Branch Hydroelectric Facility,Saratoga,NY,12188,Mohawk River,NPCC,22,Niagara Mohawk Power Corp
156,10670,AES Deepwater,Harris,TX,77506,River,ERCOT,22,"CenterPoint Energy Houston Electric, LLC"
163,52093,Oxford Cogeneration Facility,Kern,CA,93224,N/A,WECC,324,Pacific Gas & Electric Co
164,50752,South Belridge Cogeneration Facility,Kern,CA,93251,N/A,WECC,211,Pacific Gas & Electric Co
164,52077,Lost Hills Cogeneration Plant,Kern,CA,93251,N/A,WECC,211,Pacific Gas & Electric Co
164,55185,Aera South Belridge Cogen Facility,Kern,CA,93251,N/A,WECC,211,Pacific Gas & Electric Co
174,1957,Aitkin,Aitkin,MN,56431,Municipality,MRO,22,
177,10673,AES Hawaii,Oahu,HI,96707,Wells,HICC,22,Hawaiian Electric Co Inc
178,10677,AES Placerita,Los Angeles,CA,91321,Enhanced Oil Recovery Oil Well,WECC,22,Southern California Edison Co
179,54452,Agrium Kenai Nitrogen Operations,Kenai Peninsula,AK,99611,Wells,ASCC,325311,Homer Electric Assn Inc
189,53,Gantt,Covington,AL,36421,Conecuh River,SERC,22,
189,55,Point A,Covington,AL,36421,Conecuh River,SERC,22,
189,56,Charles R Lowman,Washington,AL,36548,Tombigbee River,SERC,22,
189,533,McWilliams,Covington,AL,36421,Conecuh River,SERC,22,
189,6192,Portland,Walton,FL,32542,,SERC,22,
189,7063,McIntosh,Washington,AL,36553,,SERC,22,
194,10339,Southside Water Reclamation Plant,Bernalillo,NM,87105,,WECC,22,Public Service Co of NM
195,2,Bankhead Dam,Tuscaloosa,AL,35476,Black Warrior River,SERC,22,
195,3,Barry,Mobile,AL,36512,Mobile River,SERC,22,
195,4,Walter Bouldin Dam,Elmore,AL,36092,Coosa River,SERC,22,
195,7,Gadsden,Etowah,AL,35903,Coosa River,SERC,22,
195,8,Gorgas,Walker,AL,35580,Warrior River,SERC,22,
195,10,Greene County,Greene,AL,36732,Warrior River,SERC,22,
195,11,H Neely Henry Dam,Calhoun,AL,36271,Coosa River,SERC,22,
195,12,Holt Dam,Tuscaloosa,AL,35476,Black Warrior River,SERC,22,
195,13,Jordan Dam,Elmore,AL,36092,Coosa River,SERC,22,
195,14,Logan Martin Dam,Talladega,AL,35178,Coosa River,SERC,22,
195,15,Lay Dam,Chilton,AL,35045,Coosa River,SERC,22,
195,16,Martin Dam,Elmore,AL,36078,Tallapoosa River,SERC,22,
195,17,Mitchell Dam,Coosa,AL,36091,Coosa River,SERC,22,
195,18,Lewis Smith Dam,Walker,AL,35501,Sipsey Fork Black Warrior Rive,SERC,22,
195,19,Thurlow Dam,Elmore,AL,36078,Tallapoosa River,SERC,22,
195,20,Weiss Dam,Cherokee,AL,35983,Coosa River,SERC,22,
195,21,Yates Dam,Elmore,AL,36078,Tallapoosa River,SERC,22,
195,26,E C Gaston,Shelby,AL,35186,Coosa River,SERC,22,
195,6001,Joseph M Farley,Houston,AL,36319,Chattahoochee River,SERC,22,
195,6002,James H Miller Jr,Jefferson,AL,35073,Warrior River,SERC,22,
195,6188,Harris Dam,Randolph,AL,36266,Tallapoosa River,SERC,22,
195,7697,Washington County Cogeneration Facility,Washington,AL,36553,City Water,SERC,22,
195,7698,General Electric Plastic,Lowndes,AL,36752,City Water,SERC,22,
195,7708,APC1,,AL,0,,SERC,22,
195,7721,Theodore Cogen Facility,Mobile,AL,36582,River,SERC,22,
195,7876,APC2,,AL,,,SERC,22,
195,7877,APC3,,AL,,,SERC,22,
197,54265,Akron Recycle Energy Plant,Summit,OH,44307,Municipality,ECAR,622,Ohio Edison Co
204,54429,Alabama Pine Pulp,Monroe,AL,36470,Alabama River,SERC,322,Alabama Power Co
213,62,Annex Creek,Juneau,AK,99801,Annex Creek Lake,ASCC,22,
213,63,Gold Creek,Juneau,AK,99801,Gold Creek,ASCC,22,
213,64,Lemon Creek,Juneau,AK,99801,,ASCC,22,
213,65,Salmon Creek 1,Juneau,AK,99801,Salmon Creek Reservoir,ASCC,22,
