UTILITY_ID,PLANT_CODE,PLANT_NAME,STREET_ADDRESS,CITY,COUNTY,STATE,ZIP5,NAME_OF_WATER_SOURCE,NERC,PRIMARY_PURPOSE,OWNERTRANSDIST,OWNERTRANSID,OWNERSTATE,REGULATORY_STATUS,SECTOR_NAME,SECTOR_NUMBER,FERC_COGEN,FERC_COGEN_DOCKET,FERC_SMALL_POWER,FERC_SMALL_POWER_DOCKET,FERC_EXEMPT_WHOLESALE,FERC_EXEMPT_WHOLESALE_DOCKET,ISO_RTO,ISO_RTO_CODE
7,10867,Tate & Lyle Decatur Plant Cogen,2200 East Eldorado St,Decatur,Macon,IL,62525,Municipality,SERC,311,Illinois Power Co,9208,MO,NR,Industrial,7,Y,86-921-000,N,,N,,Y,MISO
8,50903,Sagamore Plant Cogeneration,2245 Sagamorc Parkway North,Lafayette,Tippecanoe,IN,47904,Wells,RFC,311,Duke Energy Indiana Inc,15470,IN,NR,Industrial,7,Y,86-169-000,N,,N,,Y,MISO
20,55454,AES Cypress LLC,,,Mississippi,AR,72426,Municipal/Demineralized,SERC,22,,,,NR,IPP,2,N,,N,,N,,,
21,10671,AES Shady Point LLC,PO Box 1740,Panama,Leflore,OK,74951,Poteau River,SPP,22,OG&E Electric Services Inc,56403,OK,NR,IPP CHP,3,Y,85-11-003,N,,N,,Y,SPP
25,2527,AES Greenidge LLC,590 Plant Road,Dresden,Yates,NY,14441,Seneca Lake,NPCC,22,New York State Elec & Gas Corp,13511,NY,NR,IPP,2,N,,N,,Y,99-1773-000,N,
34,3305,Rocky River,146 Power Dam Lane,Iva,Anderson,SC,29655,Lake Secession,SERC,22,Abbeville City of,34,SC,RE,Electric Utility,1,N,,N,,N,,N,
35,10678,AES Warrior Run Cogeneration Facility,"11600 Mexico Farms Rd, S.E.",Cumberland,Allegany,MD,21502,City Of Cumberland Water Suppl,RFC,22,FirstEnergy Co,6449,OH,NR,IPP CHP,3,Y,92-123-000,N,,N,,Y,PJM
39,2529,AES Hickling LLC,11884 Hickling Rd,Corning,Steuben,NY,14830,Chemung River,NPCC,22,New York State Elec & Gas Corp,13511,NY,NR,IPP,2,N,,N,,Y,99-1773-000,,
40,55788,Hospira Inc,2400 Walden Avenue,Buffalo,ERIE,NY,14225,,NPCC,325211,New York State Elec & Gas Corp,13511,NY,NR,Industrial,6,N,,N,,N,,Y,NYISO
42,10675,AES Thames,141 Depot Road,Uncasville,New London,CT,6382,Thames River,NPCC,22,Connecticut Light & Power Co,4176,CT,NR,IPP CHP,3,Y,85-638-001,N,,N,,Y,ISONE
46,55631,AES Hoytdale LLC,,Beaver,Beaver,PA,16157,Beaver River,RFC,22,,,,NR,IPP,2,N,,N,,N,,,
52,10002,ACE Cogeneration Facility,12801 Mariposa St.,Trona,San Bernardino,CA,93562,Wells,WECC,22,Southern California Edison Co,17609,CA,NR,IPP CHP,3,Y,86-AFC-1,N,,N,,Y,CAISO
60,55636,St Joseph County Generating Facility,,,St Joseph,IN,46552,,,22,,,,NR,IPP,2,N,,N,,N,,,
65,50249,Abitibi Consolidated Lufkin,3201 Hwy 103 East,Lufkin,Angelina,TX,75902,Wells,TRE,322122,,,,NR,Industrial,7,N,,N,,N,,,
82,10819,Ada Cogeneration LP,7575 Fulton Street East,ADA,Kent,MI,49355,City Water,RFC,22,Consumers Energy Co,4254,MI,NR,IPP CHP,3,Y,87-529-000,N,,N,,Y,MISO
84,6390,Tangier,4463 Janders Rd,Tangier,Accomack,VA,23440,Wells,RFC,22,A & N Electric Coop,84,VA,RE,Electric Utility,1,N,,N,,N,,Y,PJM
84,6391,Smith Island,20697 Caleb Jones Rd,Ewell,Somerset,MD,21824,Wells,RFC,22,A & N Electric Coop,84,VA,RE,Electric Utility,1,N,,N,,N,,Y,PJM
88,55170,Granite Ridge,21 North Wentworth Avenue,Londonderry,Rockingham,NH,3053,Manchester Wastewater Treatmen,NPCC,22,Public Service Co of NH,15472,NH,NR,IPP,2,N,,N,,Y,00-78-000,Y,ISONE
109,10223,AG Processing Inc,500 N Commercial,Eagle Grove,Wright,IA,50533,Well,MRO,311,MidAmerican Energy Co,12341,IA,NR,Industrial,7,Y,83-190-000,N,,N,,Y,MISO
114,55459,Addis Energy Center,,Addis,West Baton Rouge,LA,70710,Mississippi River,SERC,325,,,,NR,Industrial,6,N,,N,,N,,,
135,10593,Agrilectric Power Partners Ltd,3063 Hwy. 397,Lake Charles,Calcasieu,LA,70615,Rainwater Cooling,SERC,22,Entergy Gulf ownerstates Louisiana LLC,55936,LA,NR,IPP,2,N,,Y,83-15-000; 949900,N,,N,
142,10676,AES Beaver Valley Partners Beaver Valley,394 Frankfort Rd.,Monaca,Beaver,PA,15061,Nova Chemical Co (Ohio River),RFC,22,Duquesne Light Co,5487,PA,NR,IPP CHP,3,Y,83-428-003,N,,N,,Y,PJM
150,1956,Adrian,20 Main Avenue,Adrian,NOBLES,MN,56110,N/A,MRO,22,Adrian Public Utilities Comm,150,MN,RE,Electric Utility,1,N,,N,,N,,N,
156,10670,AES Deepwater,701 Light Company Road,Pasadena,Harris,TX,77506,River and Municipality,TRE,22,"CenterPoint Energy Houston Electric, LLC",8901,TX,NR,IPP CHP,3,N,,N,,N,,Y,ERCOT
163,52093,Oxford Cogeneration Facility,25401 Highway 33,Fellows,Kern,CA,93224,N/A,WECC,211,Midway-Sunset Cogeneration Co,12687,CA,NR,Industrial,7,Y,84-198-000,N,,N,,Y,CAISO
164,50752,South Belridge Cogeneration Facility,19590 Seventh Standard Rd,McKittrick,Kern,CA,93251,N/A,WECC,211,Pacific Gas & Electric Co,14328,CA,NR,Industrial,7,Y,87-230-000,N,,N,,Y,CAISO
164,52077,Lost Hills Cogeneration Plant,Holloway Rd and Highway 46,Lost Hills,Kern,CA,93251,N/A,WECC,211,Pacific Gas & Electric Co,14328,CA,NR,Industrial,7,Y,84-940-00,N,,N,,Y,CAISO
164,55185,Aera South Belridge Cogen Facility,Highway 33 and Lost Hills Rd,McKittrick,Kern,CA,93251,N/A,WECC,211,Pacific Gas & Electric Co,14328,CA,NR,Industrial,7,N,,N,,N,,Y,CAISO
174,1957,Aitkin,,,Aitkin,MN,56431,Municipality,MRO,22,,,,RE,Electric Utility,1,N,,N,,N,,,
177,10673,AES Hawaii,91-086 Kaomi Loop,Kapolei,Oahu,HI,96707,Wells,HICC,22,Hawaiian Electric Co Inc,19547,HI,NR,IPP CHP,3,Y,87-483-001,N,,N,,N,
178,10677,CES Placerita Power Plant,20885 Placerita Canyon Road,Santa Clarita,,CA,91321,Underground water well,WECC,22,Southern California Edison Co,17609,CA,NR,IPP CHP,3,N,,N,,Y,99-231-000,Y,CAISO
179,54452,Agrium Kenai Nitrogen Operations,Mile 21.5 Kenai Spur Highway,Kenai,Kenai Peninsula,AK,99611,Wells,ASCC,325311,Homer Electric Assn Inc,19558,AK,NR,Industrial,7,N,,N,,N,,N,
189,53,Gantt,28605 Powerhouse Road,Andalusia,Covington,AL,36421,Conecuh River,SERC,22,PowerSouth Energy Cooperative,189,AL,RE,Electric Utility,1,N,,N,,N,,N,
