UTILCODE,PLNTCODE,PLNTNAME,CNTYNAME,STATE,PLNTZIP,WATSOURCE,NERC,NAICS,SERVICE AREA,REGULATORY STATUS
7,10867,Tate & Lyle Decatur Plant Cogen,Macon,IL,62525,Municipality,SERC,311,Illinois Power Co,NR
8,50903,Sagamore Plant Cogeneration,Tippecanoe,IN,47904,Wells,RFC,311,PSI Energy Inc,NR
20,55454,AES Cypress LLC,Mississippi,AR,72426,Municipal/Demineralized,SERC,22,Entergy Arkansas Inc,NR
21,10671,AES Shady Point,Leflore,OK,74951,Poteau River,SPP,22,Oklahoma Gas & Electric Co,NR
23,54750,A B Energy,Kern,CA,93561,,WECC,22,Southern California Edison Co,NR
25,2527,AES Greenidge LLC,Yates,NY,14441,Seneca Lake,NPCC,22,New York State Elec & Gas Corp,NR
34,3305,Rocky River,Abbeville,SC,29655,Lake Secession,SERC,22,,RE
35,10678,AES Warrior Run Cogeneration Facility,Allegany,MD,21502,City Of Cumberland Water Suppl,RFC,22,The Potomac Edison Co,NR
39,2529,AES Hickling LLC,Steuben,NY,14830,Chemung River,NPCC,22,New York State Elec & Gas Corp,NR
40,55788,Hospira Inc.,Erie,NY,14225,,NPCC,325211,New York State Elec & Gas Corp,NR
42,10675,AES Thames,New London,CT,6382,Thames River,NPCC,22,Connecticut Light & Power Co,NR
46,55631,AES Hoytdale LLC,Beaver,PA,16157,Beaver River,,22,Pennsylvania Power Co,NR
52,10002,ACE Cogeneration Facility,San Bernardino,CA,93562,Wells,WECC,22,Southern California Edison Co,NR
56,50805,Abitibi Consolidated Snowflake,Navajo,AZ,85937,Wells,WECC,322122,Arizona Public Service Co,NR
56,56616,Snowflake White Mountain Power LLC,Navajo,AZ,85937,Wells,WECC,22,Arizona Public Service Co,
60,55636,St Joseph County Generating Facility,St Joseph,IN,46552,,,22,American Electric Power Co Inc,NR
65,50249,Abitibi Consolidated Lufkin,Angelina,TX,75902,Wells,ERCOT,322122,TXU Electric Delivery Company,NR
82,10819,Ada Cogeneration LP,Kent,MI,49355,City Water,MRO,22,Consumers Energy Company,NR
84,6390,Tangier,Accomack,VA,23440,Wells,RFC,22,,RE
84,6391,Smith Island,Somerset,MD,21824,Wells,RFC,22,,RE
88,55170,Granite Ridge,Rockingham,NH,3053,Manchester Wastewater Treatmen,NPCC,22,Public Service Co of NH,NR
109,10223,AG Processing Inc,Wright,IA,50533,Well,MRO,311,MidAmerican Energy Co,NR
114,55459,Addis Energy Center,West Baton Rouge,LA,70710,Mississippi River,SERC,325,Entergy Louisiana Inc,NR
135,10593,Agrilectric Power Partners Ltd,Calcasieu,LA,70615,Rainwater Cooling,SERC,22,Entergy Gulf States Inc,NR
142,10676,AES Beaver Valley Partners Beaver Valley,Beaver,PA,15061,Nova Chemical Co,RFC,22,Duquesne Light Co,NR
150,1956,Adrian,Nobles,MN,56110,N/A,MRO,22,,RE
156,10670,AES Deepwater,Harris,TX,77506,River,ERCOT,22,"CenterPoint Energy Houston Electric, LLC",NR
163,52093,Oxford Cogeneration Facility,Kern,CA,93224,N/A,WECC,211,Pacific Gas & Electric Co,NR
164,50752,South Belridge Cogeneration Facility,Kern,CA,93251,N/A,WECC,211,Pacific Gas & Electric Co,NR
164,52077,Lost Hills Cogeneration Plant,Kern,CA,93251,N/A,WECC,211,Pacific Gas & Electric Co,NR
164,55185,Aera South Belridge Cogen Facility,Kern,CA,93251,N/A,WECC,211,Pacific Gas & Electric Co,NR
174,1957,Aitkin,Aitkin,MN,56431,Municipality,MRO,22,,RE
177,10673,AES Hawaii,Oahu,HI,96707,Wells,HICC,22,Hawaiian Electric Co Inc,NR
178,10677,AES Placerita,Los Angeles,CA,91321,Underground water well,WECC,22,Southern California Edison Co,NR
179,54452,Agrium Kenai Nitrogen Operations,Kenai Peninsula,AK,99611,Wells,ASCC,325311,Homer Electric Assn Inc,NR
189,53,Gantt,Covington,AL,36421,Conecuh River,SERC,22,,RE
189,55,Point A,Covington,AL,36421,Conecuh River,SERC,22,,RE
189,56,Charles R Lowman,Washington,AL,36548,Tombigbee River,SERC,22,,RE
189,533,McWilliams,Covington,AL,36421,Conecuh River,SERC,22,,RE
189,6192,Portland,Walton,FL,32542,,SERC,22,,RE
189,7063,McIntosh,Washington,AL,36553,,SERC,22,,RE
194,10339,Southside Water Reclamation Plant,Bernalillo,NM,87105,,WECC,22,Public Service Co of NM,NR
195,2,Bankhead Dam,Tuscaloosa,AL,35476,Black Warrior River,SERC,22,,RE
195,3,Barry,Mobile,AL,36512,Mobile River,SERC,22,,RE
195,4,Walter Bouldin Dam,Elmore,AL,36092,Coosa River,SERC,22,,RE
195,7,Gadsden,Etowah,AL,35903,Coosa River,SERC,22,,RE
195,8,Gorgas,Walker,AL,35580,Warrior River,SERC,22,,RE
195,10,Greene County,Greene,AL,36732,Warrior River,SERC,22,,RE
195,11,H Neely Henry Dam,Calhoun,AL,36271,Coosa River,SERC,22,,RE
195,12,Holt Dam,Tuscaloosa,AL,35476,Black Warrior River,SERC,22,,RE
195,13,Jordan Dam,Elmore,AL,36092,Coosa River,SERC,22,,RE
195,14,Logan Martin Dam,Talladega,AL,35178,Coosa River,SERC,22,,RE
195,15,Lay Dam,Chilton,AL,35045,Coosa River,SERC,22,,RE
195,16,Martin Dam,Elmore,AL,36078,Tallapoosa River,SERC,22,,RE
195,17,Mitchell Dam,Coosa,AL,36091,Coosa River,SERC,22,,RE
195,18,Lewis Smith Dam,Walker,AL,35501,Sipsey Fork Black Warrior Rive,SERC,22,,RE
195,19,Thurlow Dam,Elmore,AL,36078,Tallapoosa River,SERC,22,,RE
195,20,Weiss Dam,Cherokee,AL,35983,Coosa River,SERC,22,,RE
195,21,Yates Dam,Elmore,AL,36078,Tallapoosa River,SERC,22,,RE
195,26,E C Gaston,Shelby,AL,35186,Coosa River,SERC,22,,RE
195,6001,Joseph M Farley,Houston,AL,36319,Chattahoochee River,SERC,22,,RE
195,6002,James H Miller Jr,Jefferson,AL,35073,Warrior River,SERC,22,,RE
195,6188,Harris Dam,Randolph,AL,36266,Tallapoosa River,SERC,22,,RE
195,7697,Washington County Cogeneration Facility,Washington,AL,36553,City Water,SERC,22,,RE
195,7698,General Electric Plastic,Lowndes,AL,36752,City Water,SERC,22,,RE
195,7708,APC1,,AL,0,,SERC,22,,RE
195,7721,Theodore Cogen Facility,Mobile,AL,36582,River,SERC,22,,RE
195,7876,APC2,,AL,,,SERC,22,,RE
195,7877,APC3,,AL,,,SERC,22,,RE
197,54265,Akron Recycle Energy Plant,Summit,OH,44307,Municipality,RFC,622,Ohio Edison Co,NR
204,54429,Alabama Pine Pulp,Monroe,AL,36470,Alabama River,SERC,322,Alabama Power Co,NR
213,62,Annex Creek,Juneau,AK,99801,Annex Creek Lake,ASCC,22,,RE
213,63,Gold Creek,Juneau,AK,99801,Gold Creek,ASCC,22,,RE
213,64,Lemon Creek,Juneau,AK,99801,,ASCC,22,,RE
213,65,Salmon Creek 1,Juneau,AK,99801,Salmon Creek Reservoir,ASCC,22,,RE
213,78,Snettisham,Juneau,AK,99801,Long Lake And Crater Lake,ASCC,22,,RE
213,7250,Auke Bay,Juneau,AK,99801,N/A,ASCC,22,,RE
219,66,Skagway,Skagway-Yakutat,AK,99840,Dewey Lake,ASCC,22,,RE
219,69,Haines,Haines,AK,99927,,ASCC,22,,RE
219,406,Tok,Southeast Fairbanks,AK,99780,Well,ASCC,22,,RE
219,421,Craig,Prince of Wales,AK,99921,Municipality,ASCC,22,,RE
219,423,Hydaburg,Prince of Wales,AK,99922,,ASCC,22,,RE
219,7169,Northway,Southeast Fairbanks,AK,99764,Well,ASCC,22,,RE
219,7414,Thorne Bay Plant,Prince of Wales,AK,99919,N/A,ASCC,22,,RE
219,7751,Goat Lake Hydro,Skagway-Yakutat,AK,99840,Goat Lake,ASCC,22,,RE
219,7752,Black Bear Lake,Prince of Wales,AK,99921,Black Bear Lake,ASCC,22,,RE
219,56146,False Island,Prince of Wales,AK,99919,,ASCC,22,,RE
219,56147,Viking,Prince of Wales,AK,99921,,ASCC,22,,RE
219,56265,South Fork,Prince of Wales,AK,99925,South Fork Black Bear Creek,ASCC,22,,RE
219,56542,Kasidaya Creek Hydro,,AK,99840,Kawidaya Creek,ASCC,22,,RE
