,County,Latitude,Longitude,Plant Code,Zipcode
0,Macon,39.849190,-88.931944,10867.0,62525
1,Tippecanoe,40.443900,-86.860000,50903.0,47904
2,Mississippi,,,55454.0,72426
3,Le Flore,35.1931,-94.6458,10671.0,74951
4,Kern,,,54750.0,92886
5,Worcester,42.0736,-72.0219,54373.0,1550
6,Jefferson,40.313600,-80.605800,55611.0,43938
7,Yates,42.678900,-76.948300,2527.0,14441
8,Abbeville,,,3305.0,29620
9,Allegany,39.595171,-78.745333,10678.0,21502
10,Steuben,,,2529.0,14830
11,Erie,,,55788.0,14225
12,New London,,,10675.0,6382
13,Beaver,,,55631.0,16157
14,San Bernadino,,,10002.0,93562
15,Navajo,,,50805.0,85937
16,St Joseph,,,55636.0,46552
17,Angelina,,,50249.0,75902
18,Kent,42.962672,-85.494071,10819.0,49355
19,Accomack,,,6390.0,23310
20,Somerset,37.993300,-76.035300,6391.0,21824
21,Rockingham,42.9042,-71.4261,55170.0,3053
22,Wright,42.665941,-93.902606,10223.0,50533
23,West Baton Rouge,,,55459.0,70710
24,Lenawee,41.899200,-84.041100,54903.0,49221
25,Calcasieu,30.201200,-93.126900,10593.0,70615
26,Beaver,40.657218,-80.353929,10676.0,15061
27,Nobles,43.637110,-95.932794,1956.0,56110
28,Saratoga,42.787575,-73.691676,10467.0,12188
29,Harris,29.716552,-95.227356,10670.0,77506
30,Kern,,,52093.0,93224
31,Kern,35.438611,-119.707500,50752.0,93251
32,Kern,35.666111,-119.766944,52077.0,93251
33,Hartford,,,10567.0,6096
34,Aitkin,,,1957.0,56431
35,Oahu,,,10673.0,96707
36,Los Angeles,34.380100,-118.499900,10677.0,91321
37,Kenai Peninsula Boro,,,54452.0,99611
38,Covington,,,53.0,36420
39,Covington,,,55.0,36420
40,Washington,31.488019,-87.910747,56.0,36548
41,Covington,,,533.0,36420
42,Walton,,,6192.0,32439
43,Washington,31.254600,-88.029900,7063.0,36553
44,Bernalillo,35.500000,-106.666700,10339.0,87105
45,Tuscaloosa,,,2.0,23456
46,Mobile,31.006900,-88.010300,3.0,36512
47,Elmore,32.583889,-86.283056,4.0,36092
48,Etowah,34.012800,-85.970800,7.0,35903
49,Walker,33.644344,-87.196486,8.0,35580
50,Greene,32.601700,-87.781100,10.0,36732
51,Calhoun,33.784500,-86.052400,11.0,36271
52,Tuscaloosa,33.255300,-87.449500,12.0,35476
53,Elmore,32.618900,-86.254800,13.0,36092
54,Talladega,33.425878,-86.337547,14.0,35178
55,Chilton,32.963300,-86.518700,15.0,35045
56,Elmore,32.680394,-85.911442,16.0,36078
57,Coosa,32.806025,-86.444892,17.0,36091
58,Walker,33.940600,-87.107700,18.0,35501
59,Elmore,32.535436,-85.887614,19.0,36078
60,Cherokee,34.172142,-85.753806,20.0,35983
61,Elmore,32.574300,-85.890100,21.0,36078
62,Shelby,33.244211,-86.458056,26.0,35186
63,Houston,,,6001.0,36312
64,Jefferson,33.631900,-87.059700,6002.0,35073
65,Randolph,33.258281,-85.616047,6188.0,36266
66,Washington,31.250400,-88.015600,7697.0,36553
67,Lowndes,32.310226,-86.525420,7698.0,36752
68,nan,,,7708.0,0
69,Mobile,30.525445,-88.128477,7721.0,36582
70,Lee,,,7840.0,36874
71,nan,,,7876.0,nan
72,nan,,,7877.0,nan
73,Autauga,,,7897.0,36003
