Year,Id,Id2,County,Plant State,Estimate; Total,USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
2005,0500000US01003,1003,Baldwin County,Alabama,160354,AL,1003,161527,Baldwin County,4117584013,1133129224,1589.808,437.504,30.659218,-87.74606700000001
2005,0500000US01015,1015,Calhoun County,Alabama,109762,AL,1015,161533,Calhoun County,1569245411,16568577,605.889,6.397,33.771706,-85.822513
2005,0500000US01043,1043,Cullman County,Alabama,78888,AL,1043,161547,Cullman County,1903376556,52118974,734.898,20.123,34.131923,-86.86926700000001
2005,0500000US01049,1049,DeKalb County,Alabama,66407,AL,1049,161550,DeKalb County,2012664317,4121538,777.0939999999999,1.591,34.460929,-85.80399200000001
2005,0500000US01051,1051,Elmore County,Alabama,68057,AL,1051,161551,Elmore County,1601876535,99850740,618.488,38.553000000000004,32.597229,-86.142735
2005,0500000US01055,1055,Etowah County,Alabama,101151,AL,1055,161553,Etowah County,1386379576,34562865,535.284,13.345,34.047641,-86.034263
2005,0500000US01069,1069,Houston County,Alabama,93101,AL,1069,161560,Houston County,1501741356,4736086,579.826,1.829,31.158193,-85.296398
2005,0500000US01073,1073,Jefferson County,Alabama,641690,AL,1073,161562,Jefferson County,2878198239,32472131,1111.279,12.538,33.553444,-86.896536
2005,0500000US01077,1077,Lauderdale County,Alabama,85898,AL,1077,161564,Lauderdale County,1729334078,134420924,667.7,51.9,34.904121999999994,-87.650997
2005,0500000US01081,1081,Lee County,Alabama,118664,AL,1081,161566,Lee County,1573552324,21488937,607.552,8.297,32.604064,-85.353048
2005,0500000US01083,1083,Limestone County,Alabama,67771,AL,1083,161567,Limestone County,1450234553,122373517,559.939,47.248999999999995,34.810239,-86.981399
2005,0500000US01089,1089,Madison County,Alabama,290875,AL,1089,161570,Madison County,2076115403,28770844,801.5930000000001,11.107999999999999,34.764238,-86.55108
2005,0500000US01095,1095,Marshall County,Alabama,84662,AL,1095,161574,Marshall County,1465524083,148503229,565.842,57.336999999999996,34.309564,-86.321668
2005,0500000US01097,1097,Mobile County,Alabama,393585,AL,1097,161575,Mobile County,3184121204,1073852495,1229.396,414.61699999999996,30.684571999999996,-88.196568
2005,0500000US01101,1101,Montgomery County,Alabama,209374,AL,1101,161577,Montgomery County,2031369248,40392803,784.316,15.595999999999998,32.202881,-86.204461
2005,0500000US01103,1103,Morgan County,Alabama,112005,AL,1103,161578,Morgan County,1500534815,51006061,579.36,19.694000000000003,34.454484,-86.846402
2005,0500000US01115,1115,St. Clair County,Alabama,72100,AL,1115,164997,St. Clair County,1636625209,56293578,631.905,21.735,33.712963,-86.315663
2005,0500000US01117,1117,Shelby County,Alabama,169822,AL,1117,161584,Shelby County,2034095311,62562159,785.3689999999999,24.155,33.263042999999996,-86.678089
2005,0500000US01121,1121,Talladega County,Alabama,76962,AL,1121,161586,Talladega County,1908244139,60939223,736.7769999999999,23.529,33.369314,-86.17593000000001
2005,0500000US01125,1125,Tuscaloosa County,Alabama,160947,AL,1125,161588,Tuscaloosa County,3423119895,76604723,1321.674,29.576999999999998,33.290242,-87.522735
2005,0500000US01127,1127,Walker County,Alabama,69096,AL,1127,161589,Walker County,2049182057,36258716,791.194,14.0,33.791558,-87.30109399999999
2005,0500000US02020,2020,Anchorage Municipality,Alaska,266281,AK,2020,1416061,Anchorage Municipality,4420343302,663023276,1706.704,255.995,61.17425,-149.284329
2005,0500000US02090,2090,Fairbanks North Star Borough,Alaska,83656,AK,2090,1419969,Fairbanks North Star Borough,19019023800,275189755,7343.286,106.251,64.692317,-146.601733
2005,0500000US02170,2170,Matanuska-Susitna Borough,Alaska,75001,AK,2170,1419976,Matanuska-Susitna Borough,63734631763,1682661470,24608.08,649.679,62.279075,-149.61756200000002
2005,0500000US04001,4001,Apache County,Arizona,68070,AZ,4001,25441,Apache County,29001812294,54170779,11197.663,20.915,35.385084,-109.490172
2005,0500000US04003,4003,Cochise County,Arizona,120439,AZ,4003,25442,Cochise County,15968982233,137024922,6165.659000000001,52.906000000000006,31.840128999999997,-109.77516299999999
2005,0500000US04005,4005,Coconino County,Arizona,120776,AZ,4005,25443,Coconino County,48222080889,110096951,18618.65,42.50899999999999,35.829692,-111.773728
2005,0500000US04013,4013,Maricopa County,Arizona,3590804,AZ,4013,37026,Maricopa County,23826751660,64344166,9199.561,24.843000000000004,33.346540999999995,-112.495534
2005,0500000US04015,4015,Mohave County,Arizona,185969,AZ,4015,25445,Mohave County,34475714657,387347771,13311.148000000001,149.556,35.717705,-113.74968899999999
2005,0500000US04017,4017,Navajo County,Arizona,106192,AZ,4017,42808,Navajo County,25770082478,24078111,9949.885,9.297,35.390785,-110.321025
2005,0500000US04019,4019,Pima County,Arizona,902720,AZ,4019,25446,Pima County,23794325411,5273054,9187.041,2.036,32.128523,-111.783027
2005,0500000US04021,4021,Pinal County,Arizona,214319,AZ,4021,25447,Pinal County,13897001099,22331619,5365.661999999999,8.622,32.919038,-111.367005
2005,0500000US04025,4025,Yavapai County,Arizona,194928,AZ,4025,42809,Yavapai County,21039920080,11501575,8123.559,4.441,34.631212,-112.577385
2005,0500000US04027,4027,Yuma County,Arizona,175793,AZ,4027,23901,Yuma County,14281191792,13171316,5513.999,5.085,32.773942,-113.910905
2005,0500000US05007,5007,Benton County,Arkansas,184692,AR,5007,69896,Benton County,2194786302,94519642,847.4119999999999,36.494,36.337825,-94.256187
2005,0500000US05031,5031,Craighead County,Arkansas,84288,AR,5031,66847,Craighead County,1831770494,14166014,707.2510000000001,5.47,35.827729,-90.631421
2005,0500000US05045,5045,Faulkner County,Arkansas,91784,AR,5045,66852,Faulkner County,1678084569,41857893,647.9119999999999,16.160999999999998,35.146343,-92.324646
2005,0500000US05051,5051,Garland County,Arkansas,91690,AR,5051,66855,Garland County,1755505406,147165424,677.804,56.821000000000005,34.578860999999996,-93.146915
2005,0500000US05069,5069,Jefferson County,Arkansas,76258,AR,5069,66862,Jefferson County,2255220496,111446634,870.7460000000001,43.03,34.277695,-91.930701
2005,0500000US05119,5119,Pulaski County,Arkansas,358234,AR,5119,69177,Pulaski County,1964546492,127273982,758.5160000000001,49.141000000000005,34.770311,-92.312996
2005,0500000US05125,5125,Saline County,Arkansas,89380,AR,5125,67102,Saline County,1874165722,17792843,723.6189999999999,6.87,34.648525,-92.674463
2005,0500000US05131,5131,Sebastian County,Arkansas,116426,AR,5131,69181,Sebastian County,1377584005,39702610,531.888,15.329,35.196981,-94.274989
2005,0500000US05143,5143,Washington County,Arkansas,173713,AR,5143,69905,Washington County,2439803373,26926563,942.013,10.395999999999999,35.971209,-94.218417
2005,0500000US05145,5145,White County,Arkansas,67705,AR,5145,69906,White County,2680883279,18261873,1035.095,7.051,35.255117999999996,-91.753034
2005,0500000US06001,6001,Alameda County,California,1421308,CA,6001,1675839,Alameda County,1914240928,212981785,739.0930000000001,82.23299999999999,37.648327,-121.91292800000001
2005,0500000US06007,6007,Butte County,California,207937,CA,6007,1675842,Butte County,4238422715,105325812,1636.464,40.667,39.665959,-121.601919
2005,0500000US06013,6013,Contra Costa County,California,1006486,CA,6013,1675903,Contra Costa County,1871895181,209854843,722.743,81.025,37.919478999999995,-121.95154299999999
2005,0500000US06017,6017,El Dorado County,California,175790,CA,6017,277273,El Dorado County,4423442340,203356517,1707.901,78.516,38.785532,-120.534398
2005,0500000US06019,6019,Fresno County,California,858948,CA,6019,277274,Fresno County,15433278958,135402551,5958.823,52.278999999999996,36.761006,-119.655019
2005,0500000US06023,6023,Humboldt County,California,124031,CA,6023,1681908,Humboldt County,9241007147,1254299668,3567.973,484.288,40.706672999999995,-123.92581799999999
2005,0500000US06025,6025,Imperial County,California,144523,CA,6025,277277,Imperial County,10817378445,790204917,4176.613,305.1,33.040814000000005,-115.3554
2005,0500000US06029,6029,Kern County,California,724206,CA,6029,2054176,Kern County,21061723516,79488735,8131.977,30.691,35.346629,-118.729506
2005,0500000US06031,6031,Kings County,California,121418,CA,6031,277280,Kings County,3598582456,5468555,1389.421,2.1109999999999998,36.072478000000004,-119.81553000000001
2005,0500000US06033,6033,Lake County,California,63962,CA,6033,277281,Lake County,3254288304,188912510,1256.488,72.94,39.094802,-122.746757
2005,0500000US06037,6037,Los Angeles County,California,9758886,CA,6037,277283,Los Angeles County,10510433235,1794939537,4058.1009999999997,693.03,34.196397999999995,-118.26186200000001
2005,0500000US06039,6039,Madera County,California,134159,CA,6039,277284,Madera County,5535058332,41957139,2137.098,16.2,37.209821000000005,-119.749802
2005,0500000US06041,6041,Marin County,California,235609,CA,6041,277285,Marin County,1348069363,796944863,520.493,307.702,38.051817,-122.745974
2005,0500000US06045,6045,Mendocino County,California,86011,CA,6045,277287,Mendocino County,9081415725,962953346,3506.3540000000003,371.798,39.432388,-123.442881
